id_locacao;id_loja;id_atendente;id_cliente;id_veiculo;data_locacao;data_devolucao;valor_diaria;dias_locacao;valor_total;status
310;28;83;61;13;16-10-2024;03-11-2024;225,39;18;4057,02;Ativa
311;21;63;27;36;13-11-2023;30-11-2023;104,82;17;1781,94;Cancelada
312;1;2;30;31;28-03-2022;31-03-2022;419,17;3;1257,51;Cancelada
313;2;6;54;32;16-05-2024;17-05-2024;182,43;1;182,43;Finalizada
314;6;16;9;50;23-02-2023;01-03-2023;201,95;6;1211,7;Finalizada
315;5;15;73;46;19-06-2022;04-07-2022;111,39;15;1670,85;Ativa
316;25;74;76;38;15-04-2025;16-04-2025;319,42;1;319,42;Finalizada
317;19;57;34;29;17-10-2022;27-10-2022;344,4;10;3444,0;Ativa
318;13;37;3;6;07-09-2023;09-09-2023;205,21;2;410,42;Cancelada
319;10;30;10;25;23-05-2023;13-06-2023;118,34;21;2485,14;Ativa
320;13;39;17;40;22-04-2022;02-05-2022;413,13;10;4131,3;Finalizada
321;21;62;14;43;11-09-2023;01-10-2023;393,99;20;7879,8;Ativa
322;12;35;79;39;09-09-2024;29-09-2024;373,85;20;7477,0;Cancelada
323;6;18;9;16;24-05-2025;27-05-2025;339,71;3;1019,13;Cancelada
324;22;66;99;33;05-03-2023;18-03-2023;362,99;13;4718,87;Cancelada
325;9;25;53;3;11-03-2023;10-04-2023;348,37;30;10451,1;Ativa
326;9;25;96;8;26-11-2022;12-12-2022;114,93;16;1838,88;Finalizada
327;12;36;38;14;02-10-2022;24-10-2022;358,51;22;7887,22;Cancelada
328;5;14;13;4;09-12-2025;01-01-2026;119,51;23;2748,73;Ativa
329;23;68;36;46;27-05-2023;11-06-2023;111,13;15;1666,95;Ativa
330;9;25;84;8;10-05-2022;06-06-2022;113,68;27;3069,36;Finalizada
331;28;82;87;49;08-12-2025;10-12-2025;314,44;2;628,88;Ativa
332;12;35;52;33;28-11-2025;13-12-2025;314,81;15;4722,15;Finalizada
333;19;57;34;25;10-05-2025;14-05-2025;114,08;4;456,32;Ativa
334;27;80;29;14;19-08-2022;13-09-2022;327,93;25;8198,25;Ativa
335;22;64;100;7;04-05-2024;08-05-2024;185,05;4;740,2;Finalizada
336;12;34;52;36;30-10-2023;04-11-2023;118,58;5;592,9;Finalizada
337;22;65;63;3;24-05-2025;17-06-2025;367,12;24;8810,88;Ativa
338;17;49;25;3;25-02-2024;01-03-2024;357,51;5;1787,55;Ativa
339;23;68;55;7;26-07-2022;22-08-2022;204,38;27;5518,26;Ativa
340;27;80;72;49;07-07-2022;29-07-2022;379,98;22;8359,56;Cancelada
341;3;8;18;45;29-11-2023;22-12-2023;316,61;23;7282,03;Finalizada
342;13;38;32;21;12-05-2024;15-05-2024;118,01;3;354,03;Ativa
